User_id,Order_id,DATE,GMV,Service Group,MerchantID,Loyalty Points,%cashback,total_cash_back
45715492,19502954801,2022-01-01,41400,supermarket,25,0,2,828
41720789,19492487660,2022-01-01,205000,cvs,28,0,5,10000
55200938,19491373621,2022-01-01,237000,cvs,28,0,12,10000
21752575,19488038888,2022-01-01,499000,marketplace,37,0,2,9980
40418705,19492658771,2022-01-01,138000,marketplace,37,0,2,2760
40418705,19499851940,2022-01-01,51600,marketplace,37,0,2,1032
37381541,19502678970,2022-01-01,165300,marketplace,37,0,2,3306
37381541,19502506413,2022-01-01,686000,marketplace,37,0,2,10000
40418705,19501869233,2022-01-01,157000,marketplace,37,0,2,3140
21752575,19488038889,2022-01-01,499000,marketplace,37,0,2,9980
45534241,19494133258,2022-01-01,14000,data,30,0,7,980
49967604,19503340013,2022-01-01,10000,data,30,0,5,500
28386590,19490380333,2022-01-01,5000,data,30,0,5,250
28386590,19490380341,2022-01-01,5000,data,30,0,5,250
39526503,19486873339,2022-01-01,20000,data,43,0,7,1400
56476788,19491821406,2022-01-01,22000,cvs,8,0,5,1100
17888209,19498665834,2022-01-01,362800,supermarket,9,0,2,7256
17888209,19498209064,2022-01-01,362800,supermarket,9,0,2,7256
57429881,19501873666,2022-01-01,49000,marketplace,24,0,2,980
43933779,19491163767,2022-01-01,57000,marketplace,24,0,2,1140
43933779,19485163526,2022-01-01,98000,marketplace,24,0,2,1960
55200938,19497556252,2022-01-01,62900,marketplace,24,0,5,3145
35461466,19488822306,2022-01-01,4915,marketplace,24,0,5,245
43933779,19485163554,2022-01-01,57000,marketplace,24,0,2,1140
43933779,19491163260,2022-01-01,98000,marketplace,24,0,2,1960
16736014,19490670907,2022-01-01,35000,cvs,15,0,5,1750
39956101,19497230580,2022-01-01,410800,supermarket,9,0,2,8216
38907116,19502275715,2022-01-01,95577,supermarket,3,0,2,1911
51249641,19490999282,2022-01-01,12000,cvs,5,0,5,600
51249641,19491374083,2022-01-01,12000,cvs,5,0,5,600
40859996,19490182850,2022-01-01,71700,supermarket,3,0,2,1434
40859996,19490925701,2022-01-01,71700,supermarket,3,0,2,1434
49689927,19503346536,2022-01-01,10000,data,41,0,12,1200
58196740,19486955782,2022-01-01,15000,data,41,0,7,1050
46740171,19483902400,2022-01-01,3000,data,41,0,5,150
49689927,19503346550,2022-01-01,10000,data,41,0,12,1200
39350870,19490909329,2022-01-01,10000,data,41,0,5,500
43617939,19490497493,2022-01-01,30000,data,41,0,7,2100
46183542,19497773723,2022-01-01,5000,data,30,0,7,350
42833234,19509249000,2022-01-02,48000,cvs,28,0,5,2400
42833234,19505550078,2022-01-02,164000,cvs,28,0,5,8200
42833234,19506832988,2022-01-02,164000,cvs,28,0,5,8200
42833234,19519396929,2022-01-02,94000,cvs,28,0,5,4700
42833234,19508224873,2022-01-02,48000,cvs,28,0,5,2400
42833234,19520609673,2022-01-02,94000,cvs,28,0,5,4700
40418705,19517343744,2022-01-02,124000,marketplace,37,0,2,2480
57207697,19522659415,2022-01-02,490000,marketplace,37,0,5,10000
57207697,19522069480,2022-01-02,196000,marketplace,37,0,5,9800
40418705,19516761149,2022-01-02,124000,marketplace,37,0,2,2480
57207697,19522288879,2022-01-02,196000,marketplace,37,0,5,9800
57207697,19522296029,2022-01-02,48000,marketplace,37,0,5,2400
57207697,19520977240,2022-01-02,490000,marketplace,37,0,5,10000
57207697,19521051346,2022-01-02,196000,marketplace,37,0,5,9800
57207697,19520973748,2022-01-02,196000,marketplace,37,0,5,9800
57207697,19520974978,2022-01-02,48000,marketplace,37,0,5,2400
28386590,19507966739,2022-01-02,10000,data,30,0,5,500
28386590,19507966752,2022-01-02,10000,data,30,0,5,500
15477467,19512297806,2022-01-02,10000,data,30,0,5,500
37350301,19517962314,2022-01-02,42000,data,30,0,5,2100
61281293,19512030122,2022-01-02,20000,data,43,0,5,1000
37222656,19519453848,2022-01-02,96000,cvs,8,0,7,6720
37222656,19520361760,2022-01-02,96000,cvs,8,0,7,6720
17888209,19518130031,2022-01-02,358400,supermarket,9,0,2,7168
17888209,19517233793,2022-01-02,358400,supermarket,9,0,2,7168
37350301,19517672091,2022-01-02,20000,cvs,8,0,5,1000
49686091,19514595164,2022-01-02,28000,cvs,8,0,7,1960
49686091,19521675309,2022-01-02,13000,cvs,8,0,7,910
30625911,19512809515,2022-01-02,2672600,marketplace,24,0,2,10000
30625911,19517342428,2022-01-02,2672600,marketplace,24,0,2,10000
37350301,19517866779,2022-01-02,43000,cvs,15,0,5,2150
38907116,19520615251,2022-01-02,69500,supermarket,3,0,2,1390
58538035,19512481757,2022-01-02,8670,cvs,5,0,5,433
51489581,19518821619,2022-01-02,80000,cvs,18,0,5,4000
51489581,19517884235,2022-01-02,80000,cvs,18,0,5,4000
10249777,19522379546,2022-01-02,10000,data,41,0,5,500
52905360,19513725750,2022-01-02,30000,data,41,0,7,2100
39593778,19517956217,2022-01-02,30000,data,41,0,5,1500
43519109,19514960049,2022-01-02,120000,data,41,0,5,6000
45715492,19535986227,2022-01-03,11500,supermarket,25,0,2,230
42833234,19523490324,2022-01-03,330000,cvs,28,0,5,10000
42833234,19524377549,2022-01-03,330000,cvs,28,0,5,10000
40816577,19537011602,2022-01-03,10000,data,30,0,7,700
43649274,19537349532,2022-01-03,10000,data,30,0,5,500
43649274,19537349524,2022-01-03,10000,data,30,0,5,500
55200938,19526133574,2022-01-03,278000,cvs,8,0,12,10000
55200938,19524454211,2022-01-03,278000,cvs,8,0,12,10000
25575368,19534670383,2022-01-03,568000,marketplace,24,0,2,10000
10184635,19536255515,2022-01-03,154600,marketplace,24,0,2,3092
43933779,19527266442,2022-01-03,78950,marketplace,24,0,2,1579
25575368,19540170202,2022-01-03,312000,marketplace,24,0,2,6240
10184635,19535983434,2022-01-03,55000,marketplace,24,0,2,1100
10184635,19535744513,2022-01-03,149000,marketplace,24,0,2,2980
25575368,19534670609,2022-01-03,312000,marketplace,24,0,2,6240
25575368,19534670427,2022-01-03,845400,marketplace,24,0,2,10000
10184635,19531758686,2022-01-03,93700,marketplace,24,0,2,1874
